template_code,period_type,stress_level_hint,dominant_factor_hint,original_insight_text,revised_insight_text,revision_method,mapping_note
WEEKLY_WEEKLY_STABLE_NO_DOMINANT_FACTOR,weekly,weekly_stable,,"Pola stress mingguan relatif stabil. Tetap pantau tidur, screen time, dan tekanan akademik.","Pola stres mingguan terlihat relatif stabil. Kualitas tidur, durasi screen time, dan tekanan akademik tetap perlu dipantau agar perubahan kondisi dapat teridentifikasi sejak awal.",deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
WEEKLY_WEEKLY_HIGH_DAYS_NO_DOMINANT_FACTOR,weekly,weekly_high_days,,"Selama 7 hari terakhir, terdapat beberapa hari dengan stress level High. Pola ini perlu dipantau.","Dalam tujuh hari terakhir, terdapat beberapa hari dengan tingkat stres tinggi. Pola ini menunjukkan perlunya pemantauan lanjutan terhadap faktor pemicu agar risiko peningkatan stres dapat dikendalikan.",deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_RENDAH_NO_DOMINANT_FACTOR,daily,rendah,,"Stress score hari ini rendah. Pola tidur, mood, dan tekanan akademik relatif stabil.","Tingkat stres hari ini berada pada kategori rendah. Pola tidur, mood, dan tekanan akademik terlihat relatif stabil. Pemantauan rutin tetap diperlukan agar kondisi harian tetap terkendali.",deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_ACADEMIC_PRESSURE_FINANCIAL_WORRY,daily,sedang,Academic Pressure + Financial Worry,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Financial Worry.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik dan kekhawatiran finansial. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas dan pengelolaan sumber tekanan finansial agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_ACADEMIC_PRESSURE_HEALTH_ISSUE,daily,sedang,Academic Pressure + Health Issue,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Health Issue.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik dan kondisi kesehatan. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas dan pemantauan kondisi kesehatan dan waktu pemulihan agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_ACADEMIC_PRESSURE_HIGH_CAFFEINE_INTAKE,daily,sedang,Academic Pressure + High Caffeine Intake,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + High Caffeine Intake.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik dan konsumsi kafein tinggi. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas dan pengendalian konsumsi kafein dan kualitas istirahat agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_ACADEMIC_PRESSURE_HIGH_FATIGUE,daily,sedang,Academic Pressure + High Fatigue,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + High Fatigue.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik dan tingkat kelelahan tinggi. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas dan peningkatan waktu istirahat dan pemulihan energi agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_ACADEMIC_PRESSURE_HIGH_SCREEN_TIME,daily,sedang,Academic Pressure + High Screen Time,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + High Screen Time.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik dan durasi screen time tinggi. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas dan pengurangan durasi screen time dan jeda aktivitas digital agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_ACADEMIC_PRESSURE_LOW_MOOD,daily,sedang,Academic Pressure + Low Mood,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik dan penurunan mood. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas dan pemulihan emosi dan aktivitas penyeimbang mood agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_ACADEMIC_PRESSURE_LOW_PHYSICAL_ACTIVITY,daily,sedang,Academic Pressure + Low Physical Activity,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Physical Activity.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik dan aktivitas fisik rendah. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas dan peningkatan aktivitas fisik ringan secara bertahap agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
