template_code,title,category,priority_level,period_type,original_recommendation_text,revised_recommendation_text
RECO_CAFFEINE_MEDIUM_DAILY,Kurangi kafein,caffeine,Medium,daily,Konsumsi kafein lo tinggi. Hindari kafein sore atau malam agar tidur tidak makin terganggu.,Konsumsi kafein tercatat tinggi. Perlu pembatasan kafein pada sore atau malam hari agar kualitas tidur tidak semakin terganggu.
RECO_DIGITAL_HABIT_MEDIUM_DAILY,Batasi screen time,digital_habit,Medium,daily,Screen time lo tinggi. Kurangi penggunaan layar non-akademik 1 jam sebelum tidur.,Screen time tercatat tinggi. Perlu pengurangan penggunaan layar non-akademik setidaknya satu jam sebelum tidur.
RECO_FINANCIAL_HABIT_MEDIUM_DAILY,Atur beban finansial,financial_habit,Medium,daily,Kekhawatiran finansial lo tinggi. Catat pengeluaran utama dan hindari pengeluaran impulsif hari ini.,Kekhawatiran finansial tercatat tinggi. Perlu pencatatan pengeluaran utama dan pembatasan pengeluaran impulsif pada hari ini.
RECO_HEALTH_HIGH_DAILY,Prioritaskan pemulihan,health,High,daily,Kondisi kesehatan lo sedang kurang baik. Kurangi aktivitas berat dan prioritaskan istirahat.,Kondisi kesehatan sedang kurang baik. Perlu pengurangan aktivitas berat dan prioritas pada waktu istirahat.
RECO_MAINTENANCE_LOW_DAILY,Pertahankan rutinitas,maintenance,Low,daily,Aktivitas lo relatif stabil. Pertahankan pola tidur dan manajemen tugas hari ini.,Aktivitas harian relatif stabil. Pola tidur dan manajemen tugas hari ini perlu tetap dipertahankan.
RECO_MOOD_REGULATION_MEDIUM_DAILY,Stabilkan mood,mood_regulation,Medium,daily,Mood lo sedang rendah. Coba journaling singkat atau latihan napas 5 menit.,Mood tercatat sedang rendah. Perlu aktivitas pemulihan ringan seperti journaling singkat atau latihan napas selama lima menit.
RECO_PHYSICAL_ACTIVITY_MEDIUM_DAILY,Aktivitas ringan,physical_activity,Medium,daily,Aktivitas fisik lo rendah. Coba jalan ringan 10-15 menit.,Aktivitas fisik tercatat rendah. Perlu aktivitas ringan seperti berjalan selama 10–15 menit.
RECO_RECOVERY_HIGH_DAILY,Jadwalkan istirahat,recovery,High,daily,Tingkat kelelahan lo tinggi. Ambil jeda pendek dan hindari multitasking berat.,Tingkat kelelahan tercatat tinggi. Perlu jeda pendek dan pengurangan multitasking berat untuk mendukung pemulihan.
RECO_SLEEP_HIGH_DAILY,Tidur lebih awal,sleep,High,daily,Tidur lo kurang dari kebutuhan ideal. Coba targetkan tidur minimal 7 jam malam ini.,Durasi tidur berada jauh di bawah kebutuhan ideal. Perlu prioritas pada waktu tidur malam dengan target minimal tujuh jam untuk mendukung pemulihan.
RECO_SLEEP_MEDIUM_DAILY,Tidur lebih awal,sleep,Medium,daily,Tidur lo kurang dari kebutuhan ideal. Coba targetkan tidur minimal 7 jam malam ini.,Durasi tidur berada di bawah kebutuhan ideal. Perlu penyesuaian waktu tidur dengan target minimal tujuh jam untuk mendukung pemulihan harian.
RECO_WEEKLY_TARGET_HIGH_WEEKLY,Fokus pemulihan minggu ini,weekly_target,High,weekly,"Dalam seminggu terakhir, stres tinggi muncul cukup sering. Fokus pada tidur, tugas, dan beban layar.","Dalam satu minggu terakhir, stres tinggi muncul cukup sering. Fokus pemulihan perlu diarahkan pada kualitas tidur, pengelolaan tugas, dan pembatasan beban layar."
RECO_WORKLOAD_HIGH_DAILY,Atur prioritas tugas,workload,High,daily,Tekanan akademik lo tinggi. Pecah tugas jadi 3 prioritas dan kerjakan dari deadline terdekat.,Tekanan akademik tercatat tinggi. Perlu pembagian tugas ke dalam tiga prioritas utama dengan fokus pada deadline terdekat.
